vtx-B03-87-1-3	Δ = 87	bi.bi = 1	b0.bi = 3	4 x (irr-B3-7) + 10 x (irr-B3-8)
vtx-B03-156-4-6	Δ = 156	bi.bi = 4	b0.bi = 6	7 x (irr-B3-7) + 16 x (irr-B3-8)
vtx-B03-207-9-9	Δ = 207	bi.bi = 9	b0.bi = 9	9 x (irr-B3-7) + 18 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-240-16-12	Δ = 240	bi.bi = 16	b0.bi = 12	10 x (irr-B3-7) + 16 x (irr-B3-8) + 3 x (irr-B3-21)
vtx-B03-247-16-12	Δ = 247	bi.bi = 16	b0.bi = 12	15 x (irr-B3-7) + 16 x (irr-B3-8) + 1 x (irr-B3-35)
vtx-B03-252-36-18	Δ = 252	bi.bi = 36	b0.bi = 18	9 x (irr-B3-7) + 10 x (irr-B3-21)
vtx-B03-255-25-15	Δ = 255	bi.bi = 25	b0.bi = 15	10 x (irr-B3-7) + 10 x (irr-B3-8) + 6 x (irr-B3-21)
vtx-B03-259-36-18	Δ = 259	bi.bi = 36	b0.bi = 18	14 x (irr-B3-7) + 7 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-260-49-21	Δ = 260	bi.bi = 49	b0.bi = 21	2 x (irr-B3-7) + 2 x (irr-B3-8) + 9 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-262-16-12	Δ = 262	bi.bi = 16	b0.bi = 12	32 x (irr-B3-8) + 1 x (irr-B3-27)
vtx-B03-262-25-15	Δ = 262	bi.bi = 25	b0.bi = 15	15 x (irr-B3-7) + 10 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-264-64-24	Δ = 264	bi.bi = 64	b0.bi = 24	4 x (irr-B3-7) + 3 x (irr-B3-21) + 2 x (irr-B3-27) + 4 x (irr-B3-35)
vtx-B03-266-36-18	Δ = 266	bi.bi = 36	b0.bi = 18	19 x (irr-B3-7) + 4 x (irr-B3-21) + 2 x (irr-B3-35)
vtx-B03-267-49-21	Δ = 267	bi.bi = 49	b0.bi = 21	7 x (irr-B3-7) + 2 x (irr-B3-8) + 6 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-267-64-24	Δ = 267	bi.bi = 64	b0.bi = 24	1 x (irr-B3-7) + 4 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 3 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-268-36-18	Δ = 268	bi.bi = 36	b0.bi = 18	5 x (irr-B3-7) + 10 x (irr-B3-8) + 6 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-269-25-15	Δ = 269	bi.bi = 25	b0.bi = 15	20 x (irr-B3-7) + 10 x (irr-B3-8) + 2 x (irr-B3-35)
vtx-B03-270-49-21	Δ = 270	bi.bi = 49	b0.bi = 21	4 x (irr-B3-7) + 6 x (irr-B3-8) + 4 x (irr-B3-21) + 1 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-271-25-15	Δ = 271	bi.bi = 25	b0.bi = 15	6 x (irr-B3-7) + 20 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-48)
vtx-B03-271-64-24	Δ = 271	bi.bi = 64	b0.bi = 24	9 x (irr-B3-7) + 2 x (irr-B3-27) + 5 x (irr-B3-35)
vtx-B03-273-36-18	Δ = 273	bi.bi = 36	b0.bi = 18	24 x (irr-B3-7) + 1 x (irr-B3-21) + 3 x (irr-B3-35)
vtx-B03-274-49-21	Δ = 274	bi.bi = 49	b0.bi = 21	12 x (irr-B3-7) + 2 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-27) + 3 x (irr-B3-35)
vtx-B03-275-36-18	Δ = 275	bi.bi = 36	b0.bi = 18	10 x (irr-B3-7) + 10 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-277-25-15	Δ = 277	bi.bi = 25	b0.bi = 15	26 x (irr-B3-8) + 3 x (irr-B3-21) + 1 x (irr-B3-27)
vtx-B03-277-49-21	Δ = 277	bi.bi = 49	b0.bi = 21	9 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-21) + 2 x (irr-B3-35) + 2 x (irr-B3-48)
vtx-B03-280-100-30	Δ = 280	bi.bi = 100	b0.bi = 30	6 x (irr-B3-21) + 2 x (irr-B3-35) + 1 x (irr-B3-105)
vtx-B03-281-36-18	Δ = 281	bi.bi = 36	b0.bi = 18	4 x (irr-B3-7) + 16 x (irr-B3-8) + 4 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-281-49-21	Δ = 281	bi.bi = 49	b0.bi = 21	17 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-27) + 4 x (irr-B3-35)
vtx-B03-282-36-18	Δ = 282	bi.bi = 36	b0.bi = 18	15 x (irr-B3-7) + 10 x (irr-B3-8) + 2 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-283-49-21	Δ = 283	bi.bi = 49	b0.bi = 21	3 x (irr-B3-7) + 12 x (irr-B3-8) + 2 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-284-25-15	Δ = 284	bi.bi = 25	b0.bi = 15	5 x (irr-B3-7) + 26 x (irr-B3-8) + 1 x (irr-B3-27) + 1 x (irr-B3-35)
vtx-B03-284-36-18	Δ = 284	bi.bi = 36	b0.bi = 18	1 x (irr-B3-7) + 20 x (irr-B3-8) + 2 x (irr-B3-21) + 2 x (irr-B3-48)
vtx-B03-284-100-30	Δ = 284	bi.bi = 100	b0.bi = 30	7 x (irr-B3-7) + 3 x (irr-B3-48) + 1 x (irr-B3-112a)
vtx-B03-286-49-21	Δ = 286	bi.bi = 49	b0.bi = 21	16 x (irr-B3-8) + 1 x (irr-B3-35) + 3 x (irr-B3-48)
vtx-B03-287-100-30-a	Δ = 287	bi.bi = 100	b0.bi = 30	4 x (irr-B3-7) + 2 x (irr-B3-8) + 3 x (irr-B3-21) + 2 x (irr-B3-27) + 1 x (irr-B3-35) + 1 x (irr-B3-112a)
vtx-B03-287-100-30-b	Δ = 287	bi.bi = 100	b0.bi = 30	5 x (irr-B3-7) + 3 x (irr-B3-21) + 3 x (irr-B3-35) + 1 x (irr-B3-105)
vtx-B03-288-36-18	Δ = 288	bi.bi = 36	b0.bi = 18	9 x (irr-B3-7) + 16 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-290-100-30	Δ = 290	bi.bi = 100	b0.bi = 30	1 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-48) + 1 x (irr-B3-112a)
vtx-B03-294-100-30-a	Δ = 294	bi.bi = 100	b0.bi = 30	10 x (irr-B3-7) + 4 x (irr-B3-35) + 1 x (irr-B3-105)
vtx-B03-294-100-30-b	Δ = 294	bi.bi = 100	b0.bi = 30	9 x (irr-B3-7) + 2 x (irr-B3-8) + 2 x (irr-B3-27) + 2 x (irr-B3-35) + 1 x (irr-B3-112a)
vtx-B03-296-49-21	Δ = 296	bi.bi = 49	b0.bi = 21	2 x (irr-B3-7) + 18 x (irr-B3-8) + 2 x (irr-B3-27) + 3 x (irr-B3-35)
vtx-B03-297-36-18	Δ = 297	bi.bi = 36	b0.bi = 18	26 x (irr-B3-8) + 1 x (irr-B3-27) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-300-225-45	Δ = 300	bi.bi = 225	b0.bi = 45	2 x (irr-B3-8) + 1 x (irr-B3-21) + 3 x (irr-B3-27) + 1 x (irr-B3-35) + 1 x (irr-B3-168b)
vtx-B03-327-81-27	Δ = 327	bi.bi = 81	b0.bi = 27	20 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-48) + 1 x (irr-B3-112a)
vtx-B03-333-81-27	Δ = 333	bi.bi = 81	b0.bi = 27	14 x (irr-B3-7) + 12 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-112a)
vtx-B03-337-121-33	Δ = 337	bi.bi = 121	b0.bi = 33	19 x (irr-B3-7) + 4 x (irr-B3-8) + 3 x (irr-B3-27) + 1 x (irr-B3-112b)
vtx-B03-348-81-27	Δ = 348	bi.bi = 81	b0.bi = 27	26 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-105)
vtx-B03-392-196-42	Δ = 392	bi.bi = 196	b0.bi = 42	35 x (irr-B3-7) + 1 x (irr-B3-168b)
